,Feature,Pearson,Chi-2,RFE,Logistics,Total
97,f97,True,True,True,True,4
96,f96,True,True,True,True,4
95,f95,True,True,True,True,4
92,f92,True,True,True,True,4
87,f87,True,True,True,True,4
82,f82,True,True,True,True,4
8,f8,True,True,True,True,4
79,f79,True,True,True,True,4
73,f73,True,True,True,True,4
71,f71,True,True,True,True,4
68,f68,True,True,True,True,4
63,f63,True,True,True,True,4
62,f62,True,True,True,True,4
57,f57,True,True,True,True,4
52,f52,True,True,True,True,4
50,f50,True,True,True,True,4
48,f48,True,True,True,True,4
47,f47,True,True,True,True,4
45,f45,True,True,True,True,4
44,f44,True,True,True,True,4
38,f38,True,True,True,True,4
36,f36,True,True,True,True,4
35,f35,True,True,True,True,4
34,f34,True,True,True,True,4
32,f32,True,True,True,True,4
31,f31,True,True,True,True,4
30,f30,True,True,True,True,4
3,f3,True,True,True,True,4
24,f24,True,True,True,True,4
23,f23,True,True,True,True,4
21,f21,True,True,True,True,4
107,f107,True,True,True,True,4
106,f106,True,True,True,True,4
104,f104,True,True,True,True,4
102,f102,True,True,True,True,4
77,f77,True,True,True,False,3
7,f7,True,True,True,False,3
6,f6,True,False,True,True,3
59,f59,True,True,True,False,3
56,f56,True,True,True,False,3
46,f46,True,False,True,True,3
39,f39,True,True,True,False,3
2,f2,True,True,True,False,3
15,f15,True,False,True,True,3
13,f13,True,False,True,True,3
117,f117,True,True,True,False,3
113,f113,True,False,True,True,3
11,f11,True,False,True,True,3
108,f108,True,True,True,False,3
1,f1,True,False,True,True,3
86,f86,True,True,False,False,2
83,f83,True,True,False,False,2
81,f81,True,True,False,False,2
65,f65,True,True,False,False,2
54,f54,True,False,True,False,2
53,f53,True,False,True,False,2
49,f49,True,True,False,False,2
14,f14,False,True,True,False,2
12,f12,True,True,False,False,2
110,f110,True,False,True,False,2
109,f109,True,True,False,False,2
10,f10,False,False,True,True,2
70,f70,False,True,False,False,1
69,f69,False,False,True,False,1
64,f64,False,False,True,False,1
61,f61,False,True,False,False,1
5,f5,False,True,False,False,1
42,f42,False,True,False,False,1
41,f41,False,True,False,False,1
29,f29,False,True,False,False,1
28,f28,False,True,False,False,1
26,f26,False,True,False,False,1
25,f25,False,True,False,False,1
22,f22,False,False,True,False,1
115,f115,False,False,True,False,1
114,f114,False,False,True,False,1
0,id,False,False,False,False,0
99,f99,False,False,False,False,0
98,f98,False,False,False,False,0
94,f94,False,False,False,False,0
93,f93,False,False,False,False,0
91,f91,False,False,False,False,0
90,f90,False,False,False,False,0
9,f9,False,False,False,False,0
89,f89,False,False,False,False,0
88,f88,False,False,False,False,0
85,f85,False,False,False,False,0
84,f84,False,False,False,False,0
80,f80,False,False,False,False,0
78,f78,False,False,False,False,0
76,f76,False,False,False,False,0
75,f75,False,False,False,False,0
74,f74,False,False,False,False,0
72,f72,False,False,False,False,0
67,f67,False,False,False,False,0
66,f66,False,False,False,False,0
60,f60,False,False,False,False,0
58,f58,False,False,False,False,0
55,f55,False,False,False,False,0
51,f51,False,False,False,False,0
43,f43,False,False,False,False,0
40,f40,False,False,False,False,0
4,f4,False,False,False,False,0
37,f37,False,False,False,False,0
33,f33,False,False,False,False,0
27,f27,False,False,False,False,0
20,f20,False,False,False,False,0
19,f19,False,False,False,False,0
18,f18,False,False,False,False,0
17,f17,False,False,False,False,0
16,f16,False,False,False,False,0
118,f118,False,False,False,False,0
116,f116,False,False,False,False,0
112,f112,False,False,False,False,0
111,f111,False,False,False,False,0
105,f105,False,False,False,False,0
103,f103,False,False,False,False,0
101,f101,False,False,False,False,0
100,f100,False,False,False,False,0
